"unicef_region","country.x","priority_score","development_score","PC1_score","PC2_score","PC3_score","PC4_score","PC5_score","PIB_par_habitant","Esperance_vie_naissance","coverage","Depenses_sante_PIB","Scolarisation_secondaire"
"EAPR","Samoa",93.392991173849,6.60700882615103,3.51411687986748,46.3115197535471,66.643661808967,44.8626229397284,3.44803325655454,4898.77140817676,66.739,93,4.55693007,75.6993026733398
"EAPR","Papua New Guinea",93.3763769940158,6.62362300598417,2.20276199883794,43.6752417726194,65.6631033446278,54.6254765541349,2.12033835068796,3076.48786186584,66.739,93,4.55693007,75.6993026733398
"EAPR","Myanmar",93.3070272149968,6.69297278500324,0.962119540554189,47.7492447467401,67.2213489427451,51.3826294153095,0.872526753194985,1359.25961394135,66.739,93,4.55693007,75.6993026733398
"EAPR","Palau",93.2414763966332,6.75852360336683,1.84720959944862,37.6692352501928,68.8597947002285,66.0078381486604,1.48011662106615,2195.44890047673,66.739,91,4.55693007,75.6993026733398
"EAPR","Vanuatu",93.1535453189067,6.84645468109329,2.55255601119959,46.012390035816,66.0003887149494,56.7807553057056,2.46218054306854,3542.81071592874,66.739,93,4.55693007,75.6993026733398
"ECAR","Tajikistan",91.0807530619003,8.91924693809975,0.981528292585731,77.9094724524803,83.8747684334671,53.0866733553386,0.864533996087549,1341.20229027672,71.635,96,6.59411573,92.3336715698242
"ECAR","Uzbekistan",90.9428629404261,9.0571370595739,2.32521185430295,74.6713696690347,84.6916077702984,58.4144258396896,2.19793894306766,3161.70010632875,71.635,96,6.59411573,92.3336715698242
"ECAR","Kyrgyzstan",90.6426828662635,9.35731713373647,1.78682626310027,77.174353515374,84.6175176810334,65.790053729296,1.64937815307687,2419.26553574523,71.635,96,6.59411573,92.3336715698242
"ECAR","Turkmenistan",90.3491766167894,9.65082338321059,6.26355995934103,78.0545097439432,84.1501425120442,62.7903777266378,6.12836330860316,8571.60702949432,71.635,96,6.59411573,92.3336715698242
"ECAR","Azerbaijan",90.0905087018035,9.90949129819648,5.33935977784217,78.2007622411626,85.7837525222529,71.4628247184218,5.19283785125252,7283.83562954872,71.635,96,6.59411573,92.3336715698242
"ESAR","Somalia",96.6787116311355,3.32128836886446,0.332238623811873,53.7787323728462,4.32756130051197,14.4152359225839,0.342895154772091,636.983477589273,57.249,84,5.52298307,34.6426315307617
"ESAR","Comoros",96.2334758780785,3.76652412192148,1.16709944213235,53.3027122059261,5.09072417843233,26.8057710901416,1.17802226278451,1784.11546860293,57.249,84,5.52298307,34.6426315307617
"ESAR","United Republic of Tanzania",96.2070225176829,3.79297748231714,0.766227984340862,42.622042876292,4.51156408320893,47.3579622581505,0.735011418460957,1185.74548339844,57.249,84,5.52298307,34.6426315307617
"ESAR","South Sudan",96.1205600168018,3.87943998319817,0.438441265511146,56.027905175189,4.48992379361714,28.7715573811956,0.449728766374655,700.450073242188,57.249,84,5.52298307,34.6426315307617
"ESAR","Ethiopia",96.0527520739404,3.94724792605957,0.386659931245196,53.7584108196582,4.58663276683893,34.8230996807482,0.398474405297092,700.450073242188,57.249,84,5.52298307,34.6426315307617
"LACR","Honduras",92.7127785225433,7.28722147745671,2.50235233423987,51.1284481707841,71.2388669022896,56.1216703483439,2.37265711606044,3426.43483328923,71.639,87,5.79509926,83.6432189941406
"LACR","Guatemala",92.4337349436753,7.56626505632466,4.47565145872174,52.9676782168233,71.414020995033,56.855683460873,4.35553571663394,6150.02597767851,71.639,87,5.79509926,83.6432189941406
"LACR","Venezuela (Bolivarian Republic of)",92.3402885091202,7.6597114908798,3.92930975079203,53.4434603666816,73.3740475917526,58.0375547739564,3.78456703047021,5365.44491399171,71.639,87,5.79509926,83.6432189941406
"LACR","Haiti",92.3311356135679,7.66886438643214,1.58465247008561,53.2529478507282,71.3555365623509,67.5941008882563,1.45466782744344,2142.62330526788,71.639,87,5.79509926,83.6432189941406
"LACR","Belize",92.2552752760207,7.7447247239793,6.1327271337064,50.846571618545,71.4848369423443,61.8249661135749,6.01450269643227,8429.67959707387,71.639,87,5.79509926,83.6432189941406
"MENA","Yemen",93.1964707709837,6.80352922901627,0.278276187369891,55.3197111382835,73.6943954471613,35.6361469376912,0.199343742135814,433.174015068148,72.004,84,4.67550945,79.3983612060547
"MENA","Oman",93.0348492221673,6.9651507778327,14.772289159495,26.78144043399,73.7435230193418,49.9166162429805,14.6250999250208,20248.4168124608,72.004,84,4.67550945,79.3983612060547
"MENA","Jordan",92.8473233278613,7.15267667213869,3.36159991269023,53.0735417869875,74.5060726529655,41.7391323173976,3.24433561936754,4618.09592498567,72.004,84,4.67550945,79.3983612060547
"MENA","Egypt",92.7527632015583,7.24723679844171,2.39756660863789,55.7310736386655,74.7467731852613,42.6771383967663,2.33220203383587,3338.47371395895,72.004,84,4.67550945,79.3983612060547
"MENA","Syrian Arab Republic",92.6963557736371,7.30364422636292,2.89440579253912,56.8930771433502,74.5947612247167,41.5158530546575,2.80299905073328,4009.55929751102,72.004,84,4.67550945,79.3983612060547
"Non-programme","Mauritius",89.0890184923485,10.9109815076514,8.68600248873603,91.2202709282043,90.8121281848374,67.5215889551764,8.53375079341408,11871.733679438,78.419512195122,85,8.14801598,101.353858947754
"Non-programme","Seychelles",88.992433203249,11.0075667967511,14.9215913288023,78.2601015845509,88.7884008371234,79.664307563453,12.8900488703422,17858.8226383978,78.419512195122,85,8.14801598,101.353858947754
"Non-programme","Russian Federation",88.15937586015,11.84062413985,10.9110759420316,99.8879157726904,92.2939864870253,76.1703281973887,10.7347244645461,14889.0185546875,78.419512195122,85,8.14801598,101.353858947754
"Non-programme","Republic of Korea",87.7936546267373,12.2063453732627,19.7457683275871,91.2255452708161,93.1445858677931,78.0975565333524,19.5805939677199,27046.9565464237,78.419512195122,85,8.14801598,101.353858947754
"Non-programme","Poland",87.7764293240746,12.2235706759254,18.2571032576326,94.8419863201129,93.4975984153733,76.1355089744178,18.1037979307158,25022.6716445953,78.419512195122,85,8.14801598,101.353858947754
"ROSA","Maldives",95.9398662607525,4.06013373924751,9.55108799888979,0,53.9841417589483,37.9252021843155,9.49733617133638,13215.5353637008,65.943,92,3.81229901,51.5034958279718
"ROSA","Afghanistan",95.9170024914422,4.08299750855778,0.540947108186593,28.2220847607552,53.0754276701933,16.8831197272091,0.496287270240971,859.680536375497,65.943,92,3.81229901,51.5034958279718
"ROSA","Pakistan",95.5283147379381,4.4716852620619,1.01685711942829,27.6632323308728,53.8382176943684,28.4947568000085,0.957040328878591,1484.74985864775,65.943,92,3.81229901,51.5034958279718
"ROSA","India",95.3280275964499,4.67197240355007,1.9020930680097,25.5412269681561,55.0012324059693,34.7941407242969,1.84559765470039,2696.66389984463,65.943,92,3.81229901,51.5034958279718
"ROSA","Bhutan",95.2941946567719,4.70580534322814,0.591125395925121,20.9186238055166,54.7365298240598,47.4961123452866,0.503103293790627,859.680536375497,65.943,92,3.81229901,51.5034958279718
"WCAR","Senegal",97.9736776688131,2.02632233118686,1.14018006750273,33.6253942449315,0.615693881830538,7.64119165526505,1.13891549794732,1743.98888384359,57.241,80,4.01483774,30.9303798675537
"WCAR","Sao Tome and Principe",97.9712526822729,2.02874731772708,2.23942561253813,36.406795844019,0.730344993294981,0,2.24140945210238,3244.82899741459,57.241,80,4.01483774,30.9303798675537
"WCAR","Mauritania",97.9307032381336,2.06929676186645,1.38424927824504,38.0221945043883,0.457707427328111,1.30293219394536,1.3867908520421,2082.78374423714,57.241,80,4.01483774,30.9303798675537
"WCAR","Burkina Faso",97.8606452255093,2.13935477449066,0.581156029153501,36.1474614079425,0.223698543366066,9.21180191425351,0.590517159103622,987.321378101867,57.241,80,4.01483774,30.9303798675537
"WCAR","Chad",97.7965775774456,2.2034224225544,0.601287205631906,35.2960756506791,0,13.0081216022276,0.614887980785291,1016.08880662712,57.241,80,4.01483774,30.9303798675537
